Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,18677.73,18611.34,137052465,137052465,100.00,100 files
bsc 3.2.4 -1,2.23,5.80,137052465,70226680,51.24,100 files
bsc 3.2.4 -6,2.18,5.27,137052465,71147944,51.91,100 files
bsc 3.2.4 -5,2.41,5.38,137052465,71340416,52.05,100 files
bsc_cuda 3.2.4 -5,2.53,5.38,137052465,71340416,52.05,100 files
bsc_cuda 3.2.4 -6,2.55,5.26,137052465,71147944,51.91,100 files
bsc_cuda 3.2.4 -8,2.56,5.07,137052465,70612524,51.52,100 files
zstd 1.5.0 -1,86.92,172.30,137052465,78356325,57.17,100 files
zstd 1.5.0 -3,40.57,156.01,137052465,76528276,55.84,100 files
zstd 1.5.0 -9,17.74,168.41,137052465,74440551,54.32,100 files
zstd 1.5.0 -19,2.38,153.31,137052465,71908608,52.47,100 files
xz 5.2.5 -1,7.82,30.00,137052465,67614009,49.33,100 files
xz 5.2.5 -3,6.98,30.41,137052465,67025749,48.91,100 files
xz 5.2.5 -6,3.10,31.14,137052465,61944645,45.20,100 files
xz 5.2.5 -9,2.74,31.07,137052465,61944645,45.20,100 files
lz4 1.9.3,184.66,1846.75,137052465,93924885,68.53,100 files
zlib 1.2.11 -1,29.44,129.52,137052465,79805784,58.23,100 files
zlib 1.2.11 -3,25.61,134.98,137052465,77377558,56.46,100 files
zlib 1.2.11 -6,14.88,138.18,137052465,75105181,54.80,100 files
zlib 1.2.11 -9,3.31,140.18,137052465,74280025,54.20,100 files
