Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,18596.22,18594.23,137052465,137052465,100.00,100 files
zlib 1.2.11 -1,56.73,298.55,137052465,79805784,58.23,100 files
zlib 1.2.11 -2,53.96,305.57,137052465,78696895,57.42,100 files
zlib 1.2.11 -3,46.84,313.79,137052465,77377558,56.46,100 files
zlib 1.2.11 -4,45.45,315.32,137052465,77072257,56.24,100 files
zlib 1.2.11 -5,36.51,319.19,137052465,75776756,55.29,100 files
zlib 1.2.11 -6,26.09,324.70,137052465,75105181,54.80,100 files
zlib 1.2.11 -7,20.72,326.26,137052465,74842066,54.61,100 files
zlib 1.2.11 -8,10.49,329.78,137052465,74438913,54.31,100 files
zlib 1.2.11 -9,5.89,331.09,137052465,74280025,54.20,100 files
zstd 1.5.2 -1,497.31,1208.24,137052465,78277406,57.11,100 files
zstd 1.5.2 -2,382.42,1166.38,137052465,77433094,56.50,100 files
zstd 1.5.2 -3,228.85,1173.80,137052465,76495146,55.81,100 files
zstd 1.5.2 -4,204.73,1171.02,137052465,76444892,55.78,100 files
zstd 1.5.2 -5,131.22,1179.26,137052465,75606443,55.17,100 files
zstd 1.5.2 -6,105.81,1237.84,137052465,74886051,54.64,100 files
zstd 1.5.2 -7,98.55,1260.35,137052465,74599046,54.43,100 files
zstd 1.5.2 -8,82.60,1255.64,137052465,74440958,54.32,100 files
zstd 1.5.2 -9,83.57,1261.22,137052465,74435444,54.31,100 files
zstd 1.5.2 -10,72.86,1281.72,137052465,74254904,54.18,100 files
zstd 1.5.2 -11,50.63,1287.26,137052465,74120148,54.08,100 files
zstd 1.5.2 -12,42.35,1274.09,137052465,74119700,54.08,100 files
zstd 1.5.2 -13,32.65,1276.29,137052465,74116083,54.08,100 files
zstd 1.5.2 -14,23.80,1289.62,137052465,73933327,53.95,100 files
zstd 1.5.2 -15,21.34,1296.96,137052465,73848482,53.88,100 files
zstd 1.5.2 -16,15.11,1150.68,137052465,72429230,52.85,100 files
zstd 1.5.2 -17,13.07,1124.99,137052465,72243542,52.71,100 files
zstd 1.5.2 -18,9.72,1038.53,137052465,71619702,52.26,100 files
zstd 1.5.2 -19,6.63,1037.71,137052465,71540001,52.20,100 files
zstd 1.5.2 -20,6.44,1038.00,137052465,71540001,52.20,100 files
zstd 1.5.2 -21,5.52,1037.38,137052465,71534764,52.20,100 files
zstd 1.5.2 -22,5.37,1038.71,137052465,71534030,52.19,100 files
lzma 19.00 -0,28.32,51.66,137052465,66897301,48.81,100 files
lzma 19.00 -1,24.06,52.42,137052465,67046757,48.92,100 files
lzma 19.00 -2,20.89,52.86,137052465,67320078,49.12,100 files
lzma 19.00 -3,21.45,53.04,137052465,67397171,49.18,100 files
lzma 19.00 -4,23.11,53.09,137052465,67421631,49.19,100 files
lzma 19.00 -5,8.33,54.69,137052465,62149481,45.35,100 files
lzma 19.00 -6,8.33,54.69,137052465,62149481,45.35,100 files
lzma 19.00 -7,7.30,54.79,137052465,61949091,45.20,100 files
lzma 19.00 -8,7.29,54.82,137052465,61949091,45.20,100 files
lzma 19.00 -9,7.29,54.80,137052465,61949091,45.20,100 files
lz4 1.9.3,820.38,4867.40,137052465,93924885,68.53,100 files
xz 5.2.5 -0,17.64,48.00,137052465,68786059,50.19,100 files
xz 5.2.5 -1,16.78,48.63,137052465,67614009,49.33,100 files
xz 5.2.5 -2,15.79,49.16,137052465,67186833,49.02,100 files
xz 5.2.5 -3,14.85,49.39,137052465,67025749,48.91,100 files
xz 5.2.5 -4,8.67,49.99,137052465,62633495,45.70,100 files
xz 5.2.5 -5,7.63,50.21,137052465,62128954,45.33,100 files
xz 5.2.5 -6,6.90,50.28,137052465,61944645,45.20,100 files
xz 5.2.5 -7,5.98,50.28,137052465,61944645,45.20,100 files
xz 5.2.5 -8,5.36,49.84,137052465,61944645,45.20,100 files
xz 5.2.5 -9,5.35,49.85,137052465,61944645,45.20,100 files
bsc 3.2.4 -1,15.49,20.52,137052465,70226680,51.24,100 files
bsc 3.2.4 -2,15.49,20.53,137052465,70226680,51.24,100 files
bsc 3.2.4 -3,23.06,17.62,137052465,71963156,52.51,100 files
bsc 3.2.4 -4,23.00,17.69,137052465,71581824,52.23,100 files
bsc 3.2.4 -5,21.50,17.17,137052465,71340416,52.05,100 files
bsc 3.2.4 -6,17.04,16.64,137052465,71147944,51.91,100 files
bsc_cuda 3.2.4 -5,23.98,16.69,137052465,71340416,52.05,100 files
bsc_cuda 3.2.4 -6,23.98,16.18,137052465,71147944,51.91,100 files
bsc_cuda 3.2.4 -7,23.97,15.72,137052465,70835102,51.68,100 files
bsc_cuda 3.2.4 -8,23.64,15.33,137052465,70612524,51.52,100 files
dietgpu ,3623.18,4252.52,137052465,108400560,79.09,100 files
nvcomp_lz4 1.2.2 -0,186.15,531.32,137052465,98404118,71.80,100 files
nvcomp_lz4 1.2.2 -1,103.37,305.57,137052465,97958908,71.48,100 files
nvcomp_lz4 1.2.2 -2,56.47,172.85,137052465,97592650,71.21,100 files
nvcomp_lz4 1.2.2 -3,32.48,102.50,137052465,97492607,71.14,100 files
nvcomp_lz4 1.2.2 -4,18.20,59.03,137052465,97452548,71.11,100 files
nvcomp_lz4 1.2.2 -5,12.04,40.66,137052465,97422727,71.08,100 files
