Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,18291.01,18316.71,177236206,177236206,100.00,100 files
zlib 1.2.11 -1,48.95,261.15,177236206,122429978,69.08,100 files
zlib 1.2.11 -2,46.51,264.27,177236206,121415750,68.51,100 files
zlib 1.2.11 -3,40.45,267.57,177236206,120301219,67.88,100 files
zlib 1.2.11 -4,38.65,270.61,177236206,119383223,67.36,100 files
zlib 1.2.11 -5,30.83,269.72,177236206,118546897,66.89,100 files
zlib 1.2.11 -6,23.70,273.16,177236206,117968074,66.56,100 files
zlib 1.2.11 -7,20.60,274.23,177236206,117819741,66.48,100 files
zlib 1.2.11 -8,15.80,275.09,177236206,117715211,66.42,100 files
zlib 1.2.11 -9,13.93,275.15,177236206,117707665,66.41,100 files
zstd 1.5.2 -1,548.29,1229.04,177236206,122675752,69.22,100 files
zstd 1.5.2 -2,386.43,1174.73,177236206,120893812,68.21,100 files
zstd 1.5.2 -3,200.56,1127.08,177236206,118972742,67.13,100 files
zstd 1.5.2 -4,174.14,1118.73,177236206,118750829,67.00,100 files
zstd 1.5.2 -5,121.11,1115.96,177236206,117890734,66.52,100 files
zstd 1.5.2 -6,101.76,1132.53,177236206,117374255,66.22,100 files
zstd 1.5.2 -7,97.08,1134.42,177236206,117209692,66.13,100 files
zstd 1.5.2 -8,84.33,1153.63,177236206,117135804,66.09,100 files
zstd 1.5.2 -9,85.60,1145.80,177236206,117128437,66.09,100 files
zstd 1.5.2 -10,76.89,1147.87,177236206,117030448,66.03,100 files
zstd 1.5.2 -11,57.42,1162.44,177236206,116980884,66.00,100 files
zstd 1.5.2 -12,57.70,1150.59,177236206,116980900,66.00,100 files
zstd 1.5.2 -13,40.56,1150.00,177236206,116965059,65.99,100 files
zstd 1.5.2 -14,37.54,1152.24,177236206,116941216,65.98,100 files
zstd 1.5.2 -15,35.76,1154.24,177236206,116934050,65.98,100 files
zstd 1.5.2 -16,20.92,1020.70,177236206,115010967,64.89,100 files
zstd 1.5.2 -17,17.64,976.64,177236206,114669669,64.70,100 files
zstd 1.5.2 -18,12.79,877.42,177236206,113563443,64.07,100 files
zstd 1.5.2 -19,11.29,877.34,177236206,113535372,64.06,100 files
zstd 1.5.2 -20,11.24,877.64,177236206,113535372,64.06,100 files
zstd 1.5.2 -21,10.10,878.22,177236206,113533946,64.06,100 files
zstd 1.5.2 -22,9.38,877.26,177236206,113532328,64.06,100 files
lzma 19.00 -0,23.88,42.24,177236206,107597537,60.71,100 files
lzma 19.00 -1,19.94,43.02,177236206,107644419,60.74,100 files
lzma 19.00 -2,16.88,43.46,177236206,107884037,60.87,100 files
lzma 19.00 -3,18.09,43.56,177236206,107941212,60.90,100 files
lzma 19.00 -4,19.63,43.57,177236206,107954339,60.91,100 files
lzma 19.00 -5,9.06,43.85,177236206,100427325,56.66,100 files
lzma 19.00 -6,9.05,43.85,177236206,100427325,56.66,100 files
lzma 19.00 -7,8.55,43.88,177236206,100363244,56.63,100 files
lzma 19.00 -8,8.56,43.88,177236206,100363244,56.63,100 files
lzma 19.00 -9,8.55,43.88,177236206,100363244,56.63,100 files
lz4 1.9.3,944.05,6370.62,177236206,144651087,81.61,100 files
xz 5.2.5 -0,14.54,39.35,177236206,109864708,61.99,100 files
xz 5.2.5 -1,14.03,40.04,177236206,108101418,60.99,100 files
xz 5.2.5 -2,13.60,40.28,177236206,107842312,60.85,100 files
xz 5.2.5 -3,13.41,40.36,177236206,107734336,60.79,100 files
xz 5.2.5 -4,8.50,40.28,177236206,100817559,56.88,100 files
xz 5.2.5 -5,7.94,40.31,177236206,100455355,56.68,100 files
xz 5.2.5 -6,7.62,40.32,177236206,100401583,56.65,100 files
xz 5.2.5 -7,6.38,40.31,177236206,100401583,56.65,100 files
xz 5.2.5 -8,5.58,39.98,177236206,100401583,56.65,100 files
xz 5.2.5 -9,5.58,39.98,177236206,100401583,56.65,100 files
bsc 3.2.4 -1,13.07,16.98,177236206,111599652,62.97,100 files
bsc 3.2.4 -2,13.07,16.97,177236206,111599652,62.97,100 files
bsc 3.2.4 -3,19.91,15.17,177236206,112115718,63.26,100 files
bsc 3.2.4 -4,19.71,15.03,177236206,111882112,63.13,100 files
bsc 3.2.4 -5,18.55,14.64,177236206,111815400,63.09,100 files
bsc 3.2.4 -6,15.20,14.25,177236206,111762552,63.06,100 files
bsc_cuda 3.2.4 -5,20.50,14.39,177236206,111815400,63.09,100 files
bsc_cuda 3.2.4 -6,20.43,14.00,177236206,111762552,63.06,100 files
bsc_cuda 3.2.4 -7,20.45,13.92,177236206,111733188,63.04,100 files
bsc_cuda 3.2.4 -8,20.15,13.48,177236206,111642716,62.99,100 files
dietgpu ,3051.27,3267.20,177236206,156012576,88.03,100 files
nvcomp_lz4 1.2.2 -0,212.36,507.98,177236206,147275213,83.10,100 files
nvcomp_lz4 1.2.2 -1,121.88,324.83,177236206,146554301,82.69,100 files
nvcomp_lz4 1.2.2 -2,66.33,195.29,177236206,146222122,82.50,100 files
nvcomp_lz4 1.2.2 -3,37.21,116.15,177236206,146030590,82.39,100 files
nvcomp_lz4 1.2.2 -4,23.71,82.01,177236206,145956263,82.35,100 files
nvcomp_lz4 1.2.2 -5,15.33,58.43,177236206,145899333,82.32,100 files
