Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,18959.98,18802.68,137052465,137052465,100.00,100 files
zlib 1.2.11 -1,56.36,299.49,137052465,79805784,58.23,100 files
zlib 1.2.11 -2,53.70,306.63,137052465,78696895,57.42,100 files
zlib 1.2.11 -3,46.71,314.88,137052465,77377558,56.46,100 files
zlib 1.2.11 -4,45.51,315.60,137052465,77072257,56.24,100 files
zlib 1.2.11 -5,36.58,319.59,137052465,75776756,55.29,100 files
zlib 1.2.11 -6,26.16,325.06,137052465,75105181,54.80,100 files
zlib 1.2.11 -7,20.75,326.89,137052465,74842066,54.61,100 files
zlib 1.2.11 -8,10.49,329.98,137052465,74438913,54.31,100 files
zlib 1.2.11 -9,5.88,331.12,137052465,74280025,54.20,100 files
zstd 1.5.0 -1,455.36,1066.87,137052465,78356325,57.17,100 files
zstd 1.5.0 -2,367.54,1032.51,137052465,77471921,56.53,100 files
zstd 1.5.0 -3,228.24,1032.60,137052465,76528276,55.84,100 files
zstd 1.5.0 -4,198.73,1029.53,137052465,76480659,55.80,100 files
zstd 1.5.0 -5,139.31,1020.00,137052465,76035838,55.48,100 files
zstd 1.5.0 -6,135.11,1032.46,137052465,75604850,55.16,100 files
zstd 1.5.0 -7,105.97,1086.90,137052465,74885747,54.64,100 files
zstd 1.5.0 -8,91.66,1088.77,137052465,74718921,54.52,100 files
zstd 1.5.0 -9,80.01,1098.79,137052465,74440551,54.32,100 files
zstd 1.5.0 -10,79.09,1108.21,137052465,74434986,54.31,100 files
zstd 1.5.0 -11,77.59,1096.26,137052465,74432805,54.31,100 files
zstd 1.5.0 -12,70.19,1119.16,137052465,74254368,54.18,100 files
zstd 1.5.0 -13,27.53,1136.59,137052465,73933670,53.95,100 files
zstd 1.5.0 -14,23.21,1123.89,137052465,73933317,53.95,100 files
zstd 1.5.0 -15,21.02,1128.12,137052465,73848479,53.88,100 files
zstd 1.5.0 -16,16.17,1098.13,137052465,72904955,53.19,100 files
zstd 1.5.0 -17,13.95,1067.47,137052465,72660825,53.02,100 files
zstd 1.5.0 -18,10.13,995.06,137052465,71988082,52.53,100 files
zstd 1.5.0 -19,6.82,993.90,137052465,71908608,52.47,100 files
zstd 1.5.0 -20,6.60,999.18,137052465,71908608,52.47,100 files
zstd 1.5.0 -21,5.64,993.72,137052465,71903801,52.46,100 files
zstd 1.5.0 -22,5.49,993.43,137052465,71903038,52.46,100 files
lzma 19.00 -0,28.42,52.60,137052465,66897301,48.81,100 files
lzma 19.00 -1,24.33,53.33,137052465,67046757,48.92,100 files
lzma 19.00 -2,21.14,53.79,137052465,67320078,49.12,100 files
lzma 19.00 -3,21.75,53.96,137052465,67397171,49.18,100 files
lzma 19.00 -4,23.44,54.00,137052465,67421631,49.19,100 files
lzma 19.00 -5,8.24,55.83,137052465,62149481,45.35,100 files
lzma 19.00 -6,8.24,55.83,137052465,62149481,45.35,100 files
lzma 19.00 -7,7.21,55.95,137052465,61949091,45.20,100 files
lzma 19.00 -8,7.20,55.95,137052465,61949091,45.20,100 files
lzma 19.00 -9,7.20,55.95,137052465,61949091,45.20,100 files
lz4 1.9.3,840.36,4889.44,137052465,93924885,68.53,100 files
xz 5.2.5 -0,17.49,47.52,137052465,68786059,50.19,100 files
xz 5.2.5 -1,16.74,48.16,137052465,67614009,49.33,100 files
xz 5.2.5 -2,15.69,48.68,137052465,67186833,49.02,100 files
xz 5.2.5 -3,14.73,48.96,137052465,67025749,48.91,100 files
xz 5.2.5 -4,8.60,49.52,137052465,62633495,45.70,100 files
xz 5.2.5 -5,7.56,49.69,137052465,62128954,45.33,100 files
xz 5.2.5 -6,6.83,49.37,137052465,61944645,45.20,100 files
xz 5.2.5 -7,5.91,49.42,137052465,61944645,45.20,100 files
xz 5.2.5 -8,5.35,49.02,137052465,61944645,45.20,100 files
xz 5.2.5 -9,5.35,49.02,137052465,61944645,45.20,100 files
bsc 3.2.4 -1,15.44,20.40,137052465,70226680,51.24,100 files
bsc 3.2.4 -3,23.01,17.63,137052465,71963156,52.51,100 files
bsc 3.2.4 -4,22.99,17.69,137052465,71581824,52.23,100 files
bsc 3.2.4 -5,21.47,17.13,137052465,71340416,52.05,100 files
bsc 3.2.4 -6,17.05,16.59,137052465,71147944,51.91,100 files
bsc_cuda 3.2.4 -5,23.85,16.49,137052465,71340416,52.05,100 files
bsc_cuda 3.2.4 -6,23.85,15.98,137052465,71147944,51.91,100 files
bsc_cuda 3.2.4 -7,23.86,15.54,137052465,70835102,51.68,100 files
bsc_cuda 3.2.4 -8,23.40,15.11,137052465,70612524,51.52,100 files
dietgpu ,3373.61,3577.44,137052465,108400560,79.09,100 files
