Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,13332.11,13347.42,137052465,137052465,100.00,100 files
zlib 1.2.11 -1,40.20,171.23,137052465,79805784,58.23,100 files
zlib 1.2.11 -2,38.08,174.69,137052465,78696895,57.42,100 files
zlib 1.2.11 -3,33.20,178.37,137052465,77377558,56.46,100 files
zlib 1.2.11 -4,31.19,177.50,137052465,77072257,56.24,100 files
zlib 1.2.11 -5,24.60,179.62,137052465,75776756,55.29,100 files
zlib 1.2.11 -6,17.87,181.53,137052465,75105181,54.80,100 files
zlib 1.2.11 -7,14.44,183.52,137052465,74842066,54.61,100 files
zlib 1.2.11 -8,7.48,185.17,137052465,74438913,54.31,100 files
zlib 1.2.11 -9,4.17,185.86,137052465,74280025,54.20,100 files
zstd 1.5.0 -1,266.04,696.30,137052465,78356325,57.17,100 files
zstd 1.5.0 -2,228.44,662.95,137052465,77471921,56.53,100 files
zstd 1.5.0 -3,157.54,658.60,137052465,76528276,55.84,100 files
zstd 1.5.0 -4,136.16,655.05,137052465,76480659,55.80,100 files
zstd 1.5.0 -5,64.31,639.88,137052465,76035838,55.48,100 files
zstd 1.5.0 -6,63.68,653.86,137052465,75604850,55.16,100 files
zstd 1.5.0 -7,45.21,688.23,137052465,74885747,54.64,100 files
zstd 1.5.0 -8,39.44,697.67,137052465,74718921,54.52,100 files
zstd 1.5.0 -9,35.97,706.25,137052465,74440551,54.32,100 files
zstd 1.5.0 -10,35.10,708.07,137052465,74434986,54.31,100 files
zstd 1.5.0 -11,34.73,709.26,137052465,74432805,54.31,100 files
zstd 1.5.0 -12,19.68,716.08,137052465,74254368,54.18,100 files
zstd 1.5.0 -13,16.13,731.23,137052465,73933670,53.95,100 files
zstd 1.5.0 -14,15.96,729.19,137052465,73933317,53.95,100 files
zstd 1.5.0 -15,14.20,734.75,137052465,73848479,53.88,100 files
zstd 1.5.0 -16,9.90,707.11,137052465,72904955,53.19,100 files
zstd 1.5.0 -17,8.93,686.31,137052465,72660825,53.02,100 files
zstd 1.5.0 -18,6.95,637.05,137052465,71988082,52.53,100 files
zstd 1.5.0 -19,4.96,635.90,137052465,71908608,52.47,100 files
zstd 1.5.0 -20,5.00,635.75,137052465,71908608,52.47,100 files
zstd 1.5.0 -21,4.41,635.91,137052465,71903801,52.46,100 files
zstd 1.5.0 -22,4.31,634.84,137052465,71903038,52.46,100 files
lzma 19.00 -0,16.12,30.80,137052465,66897301,48.81,100 files
lzma 19.00 -1,14.42,31.14,137052465,67046757,48.92,100 files
lzma 19.00 -2,13.47,31.37,137052465,67320078,49.12,100 files
lzma 19.00 -3,13.63,31.49,137052465,67397171,49.18,100 files
lzma 19.00 -4,12.88,31.50,137052465,67421631,49.19,100 files
lzma 19.00 -5,4.70,32.62,137052465,62149481,45.35,100 files
lzma 19.00 -6,4.72,32.77,137052465,62149481,45.35,100 files
lzma 19.00 -7,4.08,32.84,137052465,61949091,45.20,100 files
lzma 19.00 -8,4.07,32.83,137052465,61949091,45.20,100 files
lzma 19.00 -9,4.07,32.86,137052465,61949091,45.20,100 files
lz4 1.9.3,436.87,2459.75,137052465,93924885,68.53,100 files
xz 5.2.5 -0,11.30,29.58,137052465,68786059,50.19,100 files
xz 5.2.5 -1,10.82,30.05,137052465,67614009,49.33,100 files
xz 5.2.5 -2,9.69,30.35,137052465,67186833,49.02,100 files
xz 5.2.5 -3,8.73,30.45,137052465,67025749,48.91,100 files
xz 5.2.5 -4,4.75,30.87,137052465,62633495,45.70,100 files
xz 5.2.5 -5,4.16,31.04,137052465,62128954,45.33,100 files
xz 5.2.5 -6,3.70,31.13,137052465,61944645,45.20,100 files
xz 5.2.5 -7,3.65,31.13,137052465,61944645,45.20,100 files
xz 5.2.5 -8,3.56,31.07,137052465,61944645,45.20,100 files
xz 5.2.5 -9,3.57,31.08,137052465,61944645,45.20,100 files
bsc 3.2.4 -1,5.44,11.47,137052465,70226680,51.24,100 files
bsc 3.2.4 -3,10.15,10.07,137052465,71963156,52.51,100 files
bsc 3.2.4 -4,10.13,9.93,137052465,71581824,52.23,100 files
bsc 3.2.4 -5,9.44,9.52,137052465,71340416,52.05,100 files
bsc 3.2.4 -6,7.90,9.15,137052465,71147944,51.91,100 files
bsc_cuda 3.2.4 -5,9.33,9.48,137052465,71340416,52.05,100 files
bsc_cuda 3.2.4 -6,7.15,9.14,137052465,71147944,51.91,100 files
dietgpu ,4040.69,4224.48,137052465,108400560,79.09,100 files
libnxz 0.63 -6,5325.47,3104.26,137052465,84529598,61.68,100 files
