Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,24486.42,24545.60,155684640,155684640,100.00,1 files
zlib 1.2.11 -1,46.15,253.62,155684640,113048194,72.61,1 files
zlib 1.2.11 -2,44.00,256.70,155684640,112148690,72.04,1 files
zlib 1.2.11 -3,38.70,260.00,155684640,111206043,71.43,1 files
zlib 1.2.11 -4,37.07,263.34,155684640,110411045,70.92,1 files
zlib 1.2.11 -5,30.06,263.51,155684640,109655828,70.43,1 files
zlib 1.2.11 -6,23.28,266.32,155684640,109164601,70.12,1 files
zlib 1.2.11 -7,20.36,267.45,155684640,109037897,70.04,1 files
zlib 1.2.11 -8,15.97,267.93,155684640,108965651,69.99,1 files
zlib 1.2.11 -9,14.83,267.98,155684640,108942673,69.98,1 files
zstd 1.5.0 -1,499.89,1056.99,155684640,113661622,73.01,1 files
zstd 1.5.0 -2,365.36,1013.85,155684640,112096209,72.00,1 files
zstd 1.5.0 -3,217.87,947.04,155684640,110283798,70.84,1 files
zstd 1.5.0 -4,200.54,904.16,155684640,110099025,70.72,1 files
zstd 1.5.0 -5,127.17,914.83,155684640,109538108,70.36,1 files
zstd 1.5.0 -6,122.79,919.89,155684640,109360855,70.25,1 files
zstd 1.5.0 -7,100.75,936.53,155684640,108925903,69.97,1 files
zstd 1.5.0 -8,88.54,941.41,155684640,108833749,69.91,1 files
zstd 1.5.0 -9,82.01,950.92,155684640,108463165,69.67,1 files
zstd 1.5.0 -10,78.30,925.63,155684640,108181652,69.49,1 files
zstd 1.5.0 -11,73.95,943.11,155684640,108072930,69.42,1 files
zstd 1.5.0 -12,66.51,946.91,155684640,107974349,69.35,1 files
zstd 1.5.0 -13,29.13,938.42,155684640,108065637,69.41,1 files
zstd 1.5.0 -14,16.47,949.59,155684640,107839035,69.27,1 files
zstd 1.5.0 -15,12.78,952.81,155684640,107763166,69.22,1 files
zstd 1.5.0 -16,13.66,916.95,155684640,106563347,68.45,1 files
zstd 1.5.0 -17,7.91,905.03,155684640,106214805,68.22,1 files
zstd 1.5.0 -18,6.53,819.36,155684640,105304247,67.64,1 files
zstd 1.5.0 -19,5.07,837.51,155684640,105166784,67.55,1 files
zstd 1.5.0 -20,3.67,720.08,155684640,104929037,67.40,1 files
zstd 1.5.0 -21,3.14,700.43,155684640,104727897,67.27,1 files
zstd 1.5.0 -22,2.91,690.41,155684640,104547867,67.15,1 files
lzma 19.00 -0,23.88,40.81,155684640,99202792,63.72,1 files
lzma 19.00 -1,19.85,41.50,155684640,99276609,63.77,1 files
lzma 19.00 -2,16.58,41.91,155684640,99543959,63.94,1 files
lzma 19.00 -3,15.91,42.08,155684640,99581898,63.96,1 files
lzma 19.00 -4,13.54,42.96,155684640,99630678,64.00,1 files
lzma 19.00 -5,3.44,43.59,155684640,92188043,59.21,1 files
lzma 19.00 -6,3.05,43.78,155684640,92097338,59.16,1 files
lzma 19.00 -7,2.96,43.72,155684640,91988748,59.09,1 files
lzma 19.00 -8,2.51,43.46,155684640,91915911,59.04,1 files
lzma 19.00 -9,2.50,43.44,155684640,91915911,59.04,1 files
lz4 1.9.3,978.26,6578.85,155684640,132558935,85.15,1 files
xz 5.2.5 -0,13.49,37.10,155684640,101401974,65.13,1 files
xz 5.2.5 -1,12.29,37.71,155684640,99726924,64.06,1 files
xz 5.2.5 -2,10.95,38.48,155684640,99364053,63.82,1 files
xz 5.2.5 -3,9.11,38.91,155684640,99406955,63.85,1 files
xz 5.2.5 -4,5.59,38.64,155684640,92790819,59.60,1 files
xz 5.2.5 -5,3.86,38.91,155684640,92334696,59.31,1 files
xz 5.2.5 -6,3.78,38.93,155684640,92255212,59.26,1 files
xz 5.2.5 -7,3.09,39.08,155684640,92160803,59.20,1 files
xz 5.2.5 -8,2.78,39.20,155684640,92076047,59.14,1 files
xz 5.2.5 -9,2.35,38.89,155684640,92012647,59.10,1 files
bsc 3.2.4 -1,11.55,14.12,155684640,97336814,62.52,1 files
bsc 3.2.4 -3,19.35,7.25,155684640,99669104,64.02,1 files
bsc 3.2.4 -4,19.01,7.26,155684640,98122918,63.03,1 files
bsc 3.2.4 -5,17.07,7.09,155684640,98005210,62.95,1 files
bsc 3.2.4 -6,15.42,6.88,155684640,97769732,62.80,1 files
bsc_cuda 3.2.4 -5,21.12,7.07,155684640,98005210,62.95,1 files
bsc_cuda 3.2.4 -6,21.13,6.88,155684640,97769732,62.80,1 files
bsc_cuda 3.2.4 -7,21.12,6.76,155684640,97676372,62.74,1 files
bsc_cuda 3.2.4 -8,21.06,6.69,155684640,97501180,62.63,1 files
dietgpu ,5540.44,4748.29,155684640,138634448,89.05,1 files
