command,ratio,throughput
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e0 -H10 -M4 -G,0.5998183581978083,175548292.30666038
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e0 -H10 -M128 -G,0.5909504685550928,187392351.2228977
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e0 -H10 -M255 -G,0.5912279542535543,189480595.98672256
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e0 -H15 -M4 -G,0.5987064391374588,222107534.52727878
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e0 -H15 -M128 -G,0.5908288303762674,172287647.68582836
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e0 -H15 -M255 -G,0.5911325216293335,188725048.85100672
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e1 -H10 -M4 -G,0.5917113907635212,184548773.06446984
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e1 -H10 -M128 -G,0.5827475469559431,192230115.267245
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e1 -H10 -M255 -G,0.5829674489796162,194672553.50061342
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e1 -H15 -M4 -G,0.5906153880059719,183041934.2851315
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e1 -H15 -M128 -G,0.5826442372053862,191783183.7770089
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e1 -H15 -M255 -G,0.5828911270946264,194233563.48019236
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e2 -H10 -M4 -G,0.5856566298753023,189090094.63450706
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e2 -H10 -M128 -G,0.5761990360915661,192860215.7027736
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e2 -H10 -M255 -G,0.5763455349951982,188133424.66401562
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e2 -H15 -M4 -G,0.5845687724649906,173057761.25545108
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e2 -H15 -M128 -G,0.5761042777448893,186711525.66788247
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cf -e2 -H15 -M255 -G,0.5762770641595125,183908233.5313992
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e0 -H10 -M4 -G,0.5954654607921839,189827231.63541704
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e0 -H10 -M128 -G,0.5862249825149775,186821873.1682184
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e0 -H10 -M255 -G,0.5865659769624472,187561853.84769398
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e0 -H15 -M4 -G,0.5942193325608969,194123886.67857674
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e0 -H15 -M128 -G,0.586132911965251,186688840.3155113
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e0 -H15 -M255 -G,0.5865102466195822,179711462.7347683
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e1 -H10 -M4 -G,0.5880884099751711,194872090.29413918
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e1 -H10 -M128 -G,0.57877978682518,184469099.2471155
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e1 -H10 -M255 -G,0.5790443923324347,194472811.88469657
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e1 -H15 -M4 -G,0.5868076235055923,195963823.15766844
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e1 -H15 -M128 -G,0.5787093974649906,194355433.17561966
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e1 -H15 -M255 -G,0.5790106970816851,184353279.27573568
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e2 -H10 -M4 -G,0.5823265518993139,195737550.12724054
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e2 -H10 -M128 -G,0.5725963264703751,189906332.82898667
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e2 -H10 -M255 -G,0.5727693364024162,190702132.3727862
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e2 -H15 -M4 -G,0.5810054782778025,161881801.23498672
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e2 -H15 -M128 -G,0.572537325322628,192834153.93774587
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -cp -e2 -H15 -M255 -G,0.5727431401610374,192886681.05152872
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e0 -H10 -M4 -G,0.5970449969172478,191881670.88790596
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e0 -H10 -M128 -G,0.5880848448723555,181701669.90249315
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e0 -H10 -M255 -G,0.5883798506110907,190657656.6721886
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e0 -H15 -M4 -G,0.5958473179489374,200385617.64415604
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e0 -H15 -M128 -G,0.587968161329627,182968997.13555324
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e0 -H15 -M255 -G,0.5882912073284388,184116309.19500685
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e1 -H10 -M4 -G,0.5894920527935028,204602150.74742514
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e1 -H10 -M128 -G,0.5804462656378746,186473183.29287323
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e1 -H10 -M255 -G,0.5806790329515934,187400297.00305122
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e1 -H15 -M4 -G,0.5882974565029144,225119131.66723514
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e1 -H15 -M128 -G,0.5803521759808064,194393268.25718564
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e1 -H15 -M255 -G,0.5806123670190573,195748040.11237806
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e2 -H10 -M4 -G,0.5836580377072096,179548387.18485025
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e2 -H10 -M128 -G,0.5741699021309614,189228687.87862742
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e2 -H10 -M255 -G,0.5743224360048771,192293701.08576593
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e2 -H15 -M4 -G,0.5824571214616299,214899049.65857148
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e2 -H15 -M128 -G,0.5740866586565971,185793228.87546554
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m5 -ca -e2 -H15 -M255 -G,0.5742639731615782,185832250.8262924
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e0 -H10 -M4 -G,0.5991037655621767,186414329.32457897
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e0 -H10 -M128 -G,0.5898413676768541,181369265.06621295
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e0 -H10 -M255 -G,0.5900743156671524,165880370.00248313
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e0 -H15 -M4 -G,0.5982646886259317,304584528.25783235
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e0 -H15 -M128 -G,0.5897321775555611,189730737.7584251
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e0 -H15 -M255 -G,0.5899855196475983,183154331.6686455
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e1 -H10 -M4 -G,0.5909534469246864,182382245.67130655
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e1 -H10 -M128 -G,0.5817315373569727,191007360.64502847
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e1 -H10 -M255 -G,0.5819172281771898,188634199.1272336
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e1 -H15 -M4 -G,0.5901543963700533,232615645.14254662
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e1 -H15 -M128 -G,0.5816346723586321,191031310.30287287
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e1 -H15 -M255 -G,0.581842428073287,178701442.71669132
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e2 -H10 -M4 -G,0.5849296972155571,187567884.4476822
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e2 -H10 -M128 -G,0.5753609426319599,192168383.6289257
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e2 -H10 -M255 -G,0.5754755008965731,186512097.48105097
bsc e minbias-cut.dat minbias-cut.dat.bsc -b1 -m6 -cf -e2 -H15 -M4 -G,0.5841230042278767,227383452.0800794
