command,ratio,throughput
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H10 -M4 -G,0.7492033780246262,8994933.352776742
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H10 -M128 -G,0.7454307957917513,11400189.857748039
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H10 -M255 -G,0.7455002859152846,12551121.077121928
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H15 -M4 -G,0.7493441869591543,13294573.91467089
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H15 -M128 -G,0.745356185343326,13357660.267333226
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H15 -M255 -G,0.7454556659412264,13696123.403176196
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H28 -M4 -G,0.7491609524755216,1032846.6944503798
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H28 -M128 -G,0.7452907183322077,964217.5058735929
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H28 -M255 -G,0.7454110459671681,1054633.7183307023
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e1 -H10 -M4 -G,0.7394575710678236,11882990.673606312
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e1 -H10 -M128 -G,0.7356765768726262,10588633.34572667
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e1 -H10 -M255 -G,0.7357186366842385,11567576.582014488
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e1 -H15 -M4 -G,0.7395852134526296,12464510.159420384
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e1 -H15 -M128 -G,0.7356315911610757,13568881.086989729
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e1 -H15 -M255 -G,0.7356981553846708,13849467.440438185
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e1 -H28 -M4 -G,0.7394524507429318,998053.9713565189
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e1 -H28 -M128 -G,0.7355778277497105,1051632.1528227935
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e1 -H28 -M255 -G,0.735664507535381,1015924.7763520991
