command,ratio,throughput
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e0 -H10 -M4,0.7512101796447701,90048072.61792627
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e0 -H10 -M128,0.7476047394458675,72652169.40402536
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e0 -H10 -M255,0.7477247013433356,66396129.55069997
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e0 -H15 -M4,0.7508996685138238,68318250.28375009
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e0 -H15 -M128,0.7475067217979362,63905358.968069814
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e0 -H15 -M255,0.7476636231821246,65861336.50494905
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e0 -H28 -M4,0.7505467318337731,1135643.9622411656
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e0 -H28 -M128,0.7473483574637787,1044622.8009766086
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e0 -H28 -M255,0.7475966932210373,1117869.6634628193
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e1 -H10 -M4,0.7414888770999504,54117399.70202585
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e1 -H10 -M128,0.7378410113519431,59722855.45241548
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e1 -H10 -M255,0.7379302513000596,52407984.02478716
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e1 -H15 -M4,0.7412182313556627,36429997.97729016
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e1 -H15 -M128,0.7377689610659639,34560186.98864777
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e1 -H15 -M255,0.7378841683760323,25631043.781820133
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e1 -H28 -M4,0.740926738574315,1122588.0648786814
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e1 -H28 -M128,0.7376409529436656,973053.1222951555
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e1 -H28 -M255,0.7378391826644818,1002455.4486410905
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e2 -H10 -M4,0.7348986532265454,28818487.863809127
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e2 -H10 -M128,0.730996599921403,19973582.870785598
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e2 -H10 -M255,0.7310547521826757,19102692.630244963
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e2 -H15 -M4,0.7347102984180207,20320202.931874238
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e2 -H15 -M128,0.7309417392975609,21627629.723010425
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e2 -H15 -M255,0.7310159840084939,25840253.1018721
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e2 -H28 -M4,0.7344191713741653,1075807.2831408796
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e2 -H28 -M128,0.7308488419745216,974769.2736825558
bsc e run.dat run.dat.bsc -b1 -m3 -cf -e2 -H28 -M255,0.7309816046842195,1070989.9243023715
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e0 -H10 -M4,0.7465865262673581,36073953.93351148
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e0 -H10 -M128,0.7427279957237972,36213669.05265285
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e0 -H10 -M255,0.742873559245725,37686545.37771256
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e0 -H15 -M4,0.7460887575403642,40925610.59982335
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e0 -H15 -M128,0.7426219318510359,44073897.826126724
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e0 -H15 -M255,0.7428285735341744,42930196.89913264
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e0 -H28 -M4,0.7452069644464755,1027423.9096517706
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e0 -H28 -M128,0.7421025846119973,1112830.0783086643
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e0 -H28 -M255,0.7423728646187927,1054987.887747899
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e1 -H10 -M4,0.7376018190319916,58989410.40927117
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e1 -H10 -M128,0.7334839806064037,48955297.99986339
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e1 -H10 -M255,0.7335984564414876,50818110.9866929
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e1 -H15 -M4,0.7370985642426134,50758281.312129594
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e1 -H15 -M128,0.7334144904828704,50267916.87636046
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e1 -H15 -M255,0.7335819982543349,46578607.151875034
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e1 -H28 -M4,0.7363400246836234,1101737.2511805797
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e1 -H28 -M128,0.7330077903914544,1094206.114792833
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e1 -H28 -M255,0.7332261356743459,1025447.0107313587
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e2 -H10 -M4,0.7307793518509883,17099885.317953274
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e2 -H10 -M128,0.7262292117095247,14909468.30848676
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e2 -H10 -M255,0.7262924842956893,19353730.37638279
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e2 -H15 -M4,0.7302731711616719,20315757.258091573
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e2 -H15 -M128,0.7261783741980977,16141370.217833934
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e2 -H15 -M255,0.7262851695458437,20820510.085222308
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e2 -H28 -M4,0.7296181353129972,1049855.5851869863
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e2 -H28 -M128,0.7259033396039026,1096551.8202813764
bsc e run.dat run.dat.bsc -b1 -m3 -cp -e2 -H28 -M255,0.7260456114883999,1073607.5897489283
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e0 -H10 -M4,0.7461981130505561,30845439.683951892
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e0 -H10 -M128,0.7424964838911836,33759561.16455033
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e0 -H10 -M255,0.742593404326638,29709685.47842318
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e0 -H15 -M4,0.7456370717373976,32492841.69828711
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e0 -H15 -M128,0.7423673785564086,36855632.398094885
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e0 -H15 -M255,0.7425037986410292,42786924.0591208
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e0 -H28 -M4,0.745307907994345,1185444.6638431733
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e0 -H28 -M128,0.7422254724094036,1095623.5320887747
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e0 -H28 -M255,0.7424686878417702,1095063.663853478
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e1 -H10 -M4,0.7372997198633678,13970682.568864383
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e1 -H10 -M128,0.7333417087219065,13830451.752018234
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e1 -H10 -M255,0.733421805232716,19659563.728189558
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e1 -H15 -M4,0.7367708634495299,18267122.792195268
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e1 -H15 -M128,0.7332462512364213,22035022.33799951
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e1 -H15 -M255,0.7333651159214125,29186415.443802252
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e1 -H28 -M4,0.7364384080690468,1073566.533792208
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e1 -H28 -M128,0.7331321411388297,1127568.874207644
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e1 -H28 -M255,0.7333336624970764,1024330.6734597667
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e2 -H10 -M4,0.7305624695180659,31032322.30401905
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e2 -H10 -M128,0.7261897120603584,24802454.900402594
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e2 -H10 -M255,0.7262299431845093,28512542.00403519
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e2 -H15 -M4,0.7300522657163344,27895725.637625422
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e2 -H15 -M128,0.7261125414494872,27772873.881617296
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e2 -H15 -M255,0.7261915407478198,27907707.27329937
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e2 -H28 -M4,0.7297081067360983,1072956.6926286619
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e2 -H28 -M128,0.7260258616638167,1012617.9353616881
bsc e run.dat run.dat.bsc -b1 -m3 -ca -e2 -H28 -M255,0.7261648419108833,1073209.8761316044
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H10 -M4,0.7492033780246262,65585434.31636137
bsc e run.dat run.dat.bsc -b1 -m5 -cf -e0 -H10 -M128,0.7454307957917513,45076331.295016594
