Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,13112.41,13089.36,137052465,137052465,100.00,100 files
zlib 1.2.11 -1,40.10,170.62,137052465,79805784,58.23,100 files
zlib 1.2.11 -2,38.14,174.21,137052465,78696895,57.42,100 files
zlib 1.2.11 -3,33.14,178.33,137052465,77377558,56.46,100 files
zlib 1.2.11 -4,31.17,177.13,137052465,77072257,56.24,100 files
zlib 1.2.11 -5,24.53,179.44,137052465,75776756,55.29,100 files
zlib 1.2.11 -6,17.80,181.03,137052465,75105181,54.80,100 files
zlib 1.2.11 -7,14.41,183.32,137052465,74842066,54.61,100 files
zlib 1.2.11 -8,7.47,184.99,137052465,74438913,54.31,100 files
zlib 1.2.11 -9,4.16,185.62,137052465,74280025,54.20,100 files
zstd 1.5.2 -1,284.35,716.14,137052465,78277406,57.11,100 files
zstd 1.5.2 -2,244.22,688.08,137052465,77433094,56.50,100 files
zstd 1.5.2 -3,165.57,688.04,137052465,76495146,55.81,100 files
zstd 1.5.2 -4,145.90,685.71,137052465,76444892,55.78,100 files
zstd 1.5.2 -5,81.46,683.63,137052465,75606443,55.17,100 files
zstd 1.5.2 -6,65.30,716.57,137052465,74886051,54.64,100 files
zstd 1.5.2 -7,58.22,729.61,137052465,74599046,54.43,100 files
zstd 1.5.2 -8,50.10,736.59,137052465,74440958,54.32,100 files
zstd 1.5.2 -9,48.34,735.62,137052465,74435444,54.31,100 files
zstd 1.5.2 -10,31.02,743.73,137052465,74254904,54.18,100 files
zstd 1.5.2 -11,24.62,749.76,137052465,74120148,54.08,100 files
zstd 1.5.2 -12,22.48,748.48,137052465,74119700,54.08,100 files
zstd 1.5.2 -13,18.04,750.88,137052465,74116083,54.08,100 files
zstd 1.5.2 -14,15.82,757.51,137052465,73933327,53.95,100 files
zstd 1.5.2 -15,14.13,762.25,137052465,73848482,53.88,100 files
zstd 1.5.2 -16,8.83,690.64,137052465,72429230,52.85,100 files
zstd 1.5.2 -17,8.06,673.26,137052465,72243542,52.71,100 files
zstd 1.5.2 -18,6.21,623.63,137052465,71619702,52.26,100 files
zstd 1.5.2 -19,4.60,624.60,137052465,71540001,52.20,100 files
zstd 1.5.2 -20,4.59,624.38,137052465,71540001,52.20,100 files
zstd 1.5.2 -21,4.05,624.11,137052465,71534764,52.20,100 files
zstd 1.5.2 -22,3.97,622.57,137052465,71534030,52.19,100 files
lzma 19.00 -0,16.13,30.75,137052465,66897301,48.81,100 files
lzma 19.00 -1,14.48,31.15,137052465,67046757,48.92,100 files
lzma 19.00 -2,13.27,31.38,137052465,67320078,49.12,100 files
lzma 19.00 -3,13.38,31.44,137052465,67397171,49.18,100 files
lzma 19.00 -4,12.62,31.49,137052465,67421631,49.19,100 files
lzma 19.00 -5,4.71,32.76,137052465,62149481,45.35,100 files
lzma 19.00 -6,4.72,32.76,137052465,62149481,45.35,100 files
lzma 19.00 -7,4.07,32.84,137052465,61949091,45.20,100 files
lzma 19.00 -8,4.06,32.83,137052465,61949091,45.20,100 files
lzma 19.00 -9,4.07,32.82,137052465,61949091,45.20,100 files
lz4 1.9.3,432.59,2455.91,137052465,93924885,68.53,100 files
xz 5.2.5 -0,11.30,29.52,137052465,68786059,50.19,100 files
xz 5.2.5 -1,10.81,29.98,137052465,67614009,49.33,100 files
xz 5.2.5 -2,9.65,30.32,137052465,67186833,49.02,100 files
xz 5.2.5 -3,8.82,30.46,137052465,67025749,48.91,100 files
xz 5.2.5 -4,4.76,30.81,137052465,62633495,45.70,100 files
xz 5.2.5 -5,4.19,31.07,137052465,62128954,45.33,100 files
xz 5.2.5 -6,3.70,31.08,137052465,61944645,45.20,100 files
xz 5.2.5 -7,3.66,31.09,137052465,61944645,45.20,100 files
xz 5.2.5 -8,3.56,31.08,137052465,61944645,45.20,100 files
xz 5.2.5 -9,3.55,31.06,137052465,61944645,45.20,100 files
bsc 3.2.4 -1,5.42,11.53,137052465,70226680,51.24,100 files
bsc 3.2.4 -2,5.42,11.53,137052465,70226680,51.24,100 files
bsc 3.2.4 -3,10.15,10.05,137052465,71963156,52.51,100 files
bsc 3.2.4 -4,10.10,9.90,137052465,71581824,52.23,100 files
bsc 3.2.4 -5,9.42,9.49,137052465,71340416,52.05,100 files
bsc 3.2.4 -6,7.88,9.13,137052465,71147944,51.91,100 files
bsc_cuda 3.2.4 -5,10.96,9.53,137052465,71340416,52.05,100 files
bsc_cuda 3.2.4 -6,10.97,9.14,137052465,71147944,51.91,100 files
bsc_cuda 3.2.4 -7,11.03,8.81,137052465,70835102,51.68,100 files
bsc_cuda 3.2.4 -8,11.02,8.49,137052465,70612524,51.52,100 files
dietgpu ,3874.79,4059.70,137052465,108400560,79.09,100 files
nvcomp_lz4 1.2.2 -0,183.08,532.58,137052465,98404118,71.80,100 files
nvcomp_lz4 1.2.2 -1,102.90,311.76,137052465,97958908,71.48,100 files
nvcomp_lz4 1.2.2 -2,57.25,177.45,137052465,97592650,71.21,100 files
nvcomp_lz4 1.2.2 -3,33.69,105.66,137052465,97492607,71.14,100 files
nvcomp_lz4 1.2.2 -4,19.06,60.34,137052465,97452548,71.11,100 files
nvcomp_lz4 1.2.2 -5,12.69,41.40,137052465,97422727,71.08,100 files
libnxz 0.63 -6,5323.94,3107.70,137052465,84529598,61.68,100 files
