Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,13196.61,13188.58,155684640,155684640,100.00,1 files
zlib 1.2.11 -1,33.05,143.96,155684640,113048194,72.61,1 files
zlib 1.2.11 -2,31.47,145.53,155684640,112148690,72.04,1 files
zlib 1.2.11 -3,27.65,147.01,155684640,111206043,71.43,1 files
zlib 1.2.11 -4,25.99,148.02,155684640,110411045,70.92,1 files
zlib 1.2.11 -5,20.56,147.98,155684640,109655828,70.43,1 files
zlib 1.2.11 -6,16.01,149.44,155684640,109164601,70.12,1 files
zlib 1.2.11 -7,14.13,149.88,155684640,109037897,70.04,1 files
zlib 1.2.11 -8,11.19,149.82,155684640,108965651,69.99,1 files
zlib 1.2.11 -9,10.37,150.01,155684640,108942673,69.98,1 files
zstd 1.5.2 -1,310.95,701.18,155684640,113529241,72.92,1 files
zstd 1.5.2 -2,257.61,669.89,155684640,112019266,71.95,1 files
zstd 1.5.2 -3,156.89,641.53,155684640,110264376,70.83,1 files
zstd 1.5.2 -4,142.38,631.97,155684640,110082512,70.71,1 files
zstd 1.5.2 -5,72.80,628.94,155684640,109364977,70.25,1 files
zstd 1.5.2 -6,63.08,641.25,155684640,108926703,69.97,1 files
zstd 1.5.2 -7,57.17,634.76,155684640,108623153,69.77,1 files
zstd 1.5.2 -8,50.41,640.08,155684640,108467260,69.67,1 files
zstd 1.5.2 -9,43.95,632.47,155684640,108184202,69.49,1 files
zstd 1.5.2 -10,26.32,631.91,155684640,107976799,69.36,1 files
zstd 1.5.2 -11,20.24,634.70,155684640,107917000,69.32,1 files
zstd 1.5.2 -12,16.74,634.78,155684640,107896625,69.30,1 files
zstd 1.5.2 -13,12.73,633.79,155684640,107878366,69.29,1 files
zstd 1.5.2 -14,13.18,634.76,155684640,107839021,69.27,1 files
zstd 1.5.2 -15,11.18,635.69,155684640,107763157,69.22,1 files
zstd 1.5.2 -16,7.82,588.65,155684640,105993189,68.08,1 files
zstd 1.5.2 -17,5.74,562.49,155684640,105724843,67.91,1 files
zstd 1.5.2 -18,4.95,512.26,155684640,104911164,67.39,1 files
zstd 1.5.2 -19,4.21,513.13,155684640,104771319,67.30,1 files
zstd 1.5.2 -20,3.32,453.18,155684640,104536747,67.15,1 files
zstd 1.5.2 -21,2.87,435.62,155684640,104340452,67.02,1 files
zstd 1.5.2 -22,2.61,418.02,155684640,104176249,66.91,1 files
lzma 19.00 -0,13.48,23.83,155684640,99202792,63.72,1 files
lzma 19.00 -1,11.93,24.12,155684640,99276609,63.77,1 files
lzma 19.00 -2,10.88,24.33,155684640,99543959,63.94,1 files
lzma 19.00 -3,10.22,24.43,155684640,99581898,63.96,1 files
lzma 19.00 -4,6.82,24.89,155684640,99630678,64.00,1 files
lzma 19.00 -5,2.79,25.43,155684640,92188043,59.21,1 files
lzma 19.00 -6,2.58,25.42,155684640,92097338,59.16,1 files
lzma 19.00 -7,2.50,25.48,155684640,91988748,59.09,1 files
lzma 19.00 -8,2.18,25.45,155684640,91915911,59.04,1 files
lzma 19.00 -9,2.18,25.48,155684640,91915911,59.04,1 files
lz4 1.9.3,493.71,3384.10,155684640,132558935,85.15,1 files
xz 5.2.5 -0,8.99,22.91,155684640,101401974,65.13,1 files
xz 5.2.5 -1,8.08,23.33,155684640,99726924,64.06,1 files
xz 5.2.5 -2,6.33,23.77,155684640,99364053,63.82,1 files
xz 5.2.5 -3,4.88,23.99,155684640,99406955,63.85,1 files
xz 5.2.5 -4,3.39,23.88,155684640,92790819,59.60,1 files
xz 5.2.5 -5,2.79,24.08,155684640,92334696,59.31,1 files
xz 5.2.5 -6,2.71,24.11,155684640,92255212,59.26,1 files
xz 5.2.5 -7,2.43,24.17,155684640,92160803,59.20,1 files
xz 5.2.5 -8,2.26,24.22,155684640,92076047,59.14,1 files
xz 5.2.5 -9,1.99,24.19,155684640,92012647,59.10,1 files
bsc 3.2.4 -1,4.37,8.80,155684640,97336814,62.52,1 files
bsc 3.2.4 -2,4.37,8.80,155684640,97336814,62.52,1 files
bsc 3.2.4 -3,8.49,5.35,155684640,99669104,64.02,1 files
bsc 3.2.4 -4,8.38,5.50,155684640,98122918,63.03,1 files
bsc 3.2.4 -5,7.83,5.41,155684640,98005210,62.95,1 files
bsc 3.2.4 -6,7.20,5.26,155684640,97769732,62.80,1 files
bsc_cuda 3.2.4 -5,9.38,5.41,155684640,98005210,62.95,1 files
bsc_cuda 3.2.4 -6,9.42,5.24,155684640,97769732,62.80,1 files
bsc_cuda 3.2.4 -7,9.42,5.07,155684640,97676372,62.74,1 files
bsc_cuda 3.2.4 -8,9.43,4.95,155684640,97501180,62.63,1 files
dietgpu ,5494.59,6586.30,155684640,138634448,89.05,1 files
nvcomp_lz4 1.2.2 -0,1326.16,5797.29,155684640,133292574,85.62,1 files
nvcomp_lz4 1.2.2 -1,1259.64,5396.18,155684640,132610400,85.18,1 files
nvcomp_lz4 1.2.2 -2,1513.81,4771.69,155684640,132289550,84.97,1 files
nvcomp_lz4 1.2.2 -3,1410.04,3928.11,155684640,132124955,84.87,1 files
nvcomp_lz4 1.2.2 -4,1061.23,3238.68,155684640,132034648,84.81,1 files
nvcomp_lz4 1.2.2 -5,822.55,2561.76,155684640,131995537,84.78,1 files
libnxz 0.63 -6,7271.96,3365.09,155684640,117143478,75.24,1 files
